OP-SNX-001,SNX-CAP-250,SynaptoMax 250 mg CapsLibMod - Etapa 1 Dispensacion MP,C001,SN202601,100.0000,KG,LI-SNX-001,06/17/2026,06/17/2028,INVIMA-2024-001234,Capsulas Lib. Modificada
OP-SNX-001,IFA-MFD-001,Metilfenidato HCl IFA,25.0000,KG,LMP-2601-01,BOM-001
OP-SNX-001,EXC-CMC-102,Celulosa Microcristalina PH-102,40.5000,KG,LMP-2601-02,BOM-001
OP-SNX-001,EXC-HPMC-K1,Hidroxipropilmetilcelulosa K100M,18.0000,KG,LMP-2601-03,BOM-001
OP-SNX-001,EXC-EST-MG,Estearato de Magnesio,1.5000,KG,LMP-2601-04,BOM-001
OP-SNX-001,EXC-SIO2-C,Dioxido de Silicio Coloidal,0.5000,KG,LMP-2601-05,BOM-001
OP-SNX-001,EXC-LAC-MH,Lactosa Monohidrato,14.5000,KG,LMP-2601-06,BOM-001
OP-SNX-002,SNX-CAP-250,SynaptoMax 250 mg CapsLibMod - Etapa 2 Encapsulacion,C001,SN202601,312500.0000,UND,LI-SNX-001,06/17/2026,06/17/2028,INVIMA-2024-001234,Capsulas Lib. Modificada
OP-SNX-002,SNX-BLEND-001,Mezcla dispensada SynaptoMax blend,100.0000,KG,SN202601,BOM-002
OP-SNX-002,CAP-GEL-SZ0,Capsulas gelatina dura talla 0 natural,312500.0000,UND,LCP-2601-01,BOM-002
OP-SNX-003,SNX-CAP-250,SynaptoMax 250 mg CapsLibMod - Etapa 3 Insp y Empaque,C001,SN202601,22321.0000,UND,LI-SNX-001,06/17/2026,06/17/2028,INVIMA-2024-001234,Capsulas Lib. Modificada
OP-SNX-003,BLS-PVC-250,Blister PVC/PVDC 250 um,3200.0000,UND,LBL-2601-01,BOM-003
OP-SNX-003,ALU-FOI-020,Lamina Aluminio sellante 20 um,3200.0000,UND,LAL-2601-01,BOM-003
OP-SNX-003,CJP-SNX-014,Caja plegadiza SynaptoMax 14 caps,22321.0000,UND,LCJ-2601-01,BOM-003
OP-SNX-003,PRO-SNX-ESP,Prospecto SynaptoMax 250 mg ESP/ENG,22321.0000,UND,LPR-2601-01,BOM-003
OP-SNX-003,EST-SNX-010,Estuche secundario 10 cajas SynaptoMax,2233.0000,UND,LES-2601-01,BOM-003
